age_group,social_context,avg_minutes_per_day,avg_hours_per_day,weighted_respondents,unweighted_respondents,share_of_day
18-24,Alone,349.1625538574272,5.819375897623787,10717529189.496117,372,0.24247399573432446
18-24,Together,451.21625686678703,7.5202709477797836,10717529189.496117,372,0.31334462282415765
18-24,Not asked,639.1258026755279,10.652096711258798,10717529189.496117,372,0.4438373629691166
18-24,Unknown,0.4953866002579048,0.008256443337631748,10717529189.496117,372,0.0003440184724013228
25-34,Alone,350.2873191570859,5.838121985951432,16260255041.726114,1014,0.24325508274797633
25-34,Together,505.8147700699869,8.430246167833115,16260255041.726114,1014,0.3512602569930464
25-34,Not asked,583.8968602532295,9.731614337553825,16260255041.726114,1014,0.4054839307314094
25-34,Unknown,0.0010505196977854834,1.7508661629758057e-05,16260255041.726114,1014,7.295275679065857e-07
35-44,Alone,363.19887055435214,6.053314509239202,16170111588.666594,1220,0.25222143788496676
35-44,Together,512.3949964710247,8.539916607850412,16170111588.666594,1220,0.3558298586604338
35-44,Not asked,562.653246228302,9.377554103805034,16170111588.666594,1220,0.3907314209918764
35-44,Unknown,1.7528867463212032,0.029214779105353385,16170111588.666594,1220,0.0012172824627230579
45-54,Alone,396.3449235477308,6.605748725795513,14651840258.4984,993,0.27523953024147974
45-54,Together,474.6573451769456,7.910955752949094,14651840258.4984,993,0.3296231563728789
45-54,Not asked,568.119928097102,9.468665468285034,14651840258.4984,993,0.39452772784520973
45-54,Unknown,0.8778031782215441,0.014630052970359068,14651840258.4984,993,0.0006095855404316278
55-64,Alone,456.2404576009621,7.6040076266827015,15086059857.122107,1232,0.3168336511117792
55-64,Together,405.3819489819181,6.756365816365301,15086059857.122107,1232,0.2815152423485542
55-64,Not asked,576.6173485325855,9.610289142209758,15086059857.122107,1232,0.4004287142587399
55-64,Unknown,1.7602448845344194,0.029337414742240324,15086059857.122107,1232,0.00122239228092668
65+,Alone,479.78419103463375,7.996403183910562,21865350793.675213,2678,0.33318346599627346
65+,Together,368.63369701971305,6.1438949503285505,21865350793.675213,2678,0.2559956229303563
65+,Not asked,591.5167398965092,9.858612331608487,21865350793.675213,2678,0.4107755138170203
65+,Unknown,0.0653720491437816,0.00108953415239636,21865350793.675213,2678,4.539725634984834e-05
